37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",246.2
38060,"Phoenix-Mesa-Scottsdale, AZ",287.1
38340,"Pittsfield, MA",223.2
38940,"Port St. Lucie, FL",250
38860,"Portland-South Portland, ME",308.5
38900,"Portland-Vancouver-Hillsboro, OR-WA",409.3
39300,"Providence-Warwick, RI-MA",311.1
39460,"Punta Gorda, FL",230
39580,"Raleigh, NC",291.5
39740,"Reading, PA",173.8
39900,"Reno, NV",393.9
40060,"Richmond, VA",264
40140,"Riverside-San Bernardino-Ontario, CA",378.5
40380,"Rochester, NY",154.2
40420,"Rockford, IL",128.3
40900,"Sacramento--Roseville--Arden-Arcade, CA",380
40980,"Saginaw, MI",N/A
41180,"St. Louis, MO-IL",187.5
41420,"Salem, OR",310.7
41620,"Salt Lake City, UT",355.2
41700,"San Antonio-New Braunfels, TX",236.6
41740,"San Diego-Carlsbad, CA",645
41860,"San Francisco-Oakland-Hayward, CA",988
41940,"San Jose-Sunnyvale-Santa Clara, CA",1265
42660,"Seattle-Tacoma-Bellevue, WA",524.7
42680,"Sebastian-Vero Beach, FL",250
43300,"Sherman-Denison, TX",189.3
43340,"Shreveport-Bossier City, LA",176.4
43620,"Sioux Falls, SD",221.4
43780,"South Bend-Mishawaka, IN-MI",141.9
43900,"Spartanburg, SC",183.8
44060,"Spokane-Spokane Valley, WA",265.3
44100,"Springfield, IL",141.8
44140,"Springfield, MA",229
44180,"Springfield, MO",154.6
45060,"Syracuse, NY",146.5
45220,"Tallahassee, FL",227
45300,"Tampa-St. Petersburg-Clearwater, FL",245
45780,"Toledo, OH",131
45820,"Topeka, KS",135.7
45940,"Trenton, NJ",276.3
46060,"Tucson, AZ",238.9
46140,"Tulsa, OK",173.2
46520,"Urban Honolulu, HI",802.5
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",235
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",440.9
47940,"Waterloo-Cedar Falls, IA",133.1
48620,"Wichita, KS",158.2
48660,"Wichita Falls, TX",125.9
48900,"Wilmington, NC",264.7
49180,"Winston-Salem, NC",177.3
49340,"Worcester, MA-CT",288.1
49420,"Yakima, WA",248.9
49620,"York-Hanover, PA",184.1
49660,"Youngstown-Warren-Boardman, OH-PA",102.6
